director,avg_vote
John Ford,7.1
William Nigh,3.9
Lewis Milestone,6.8
William Dieterle,6.7
Howard Hawks,6.6
John Ford,6.6
Joe May,6.9
Maurice Elvey,6
Teinosuke Kinugasa,7.1
Robert Z. Leonard,6.9
Josef von Sternberg,8
Herbert Brenon,7.6
Bryan Foy,5.7
"George Fitzmaurice, Frank Lloyd",6.1
Pál Fejös,7.8
Jean Grémillon,6.8
Paul Leni,7.7
Frank Capra,6.8
James Cruze,6.8
John Ford,5.3
Ewald André Dupont,6.5
Fred Niblo,7.2
Harry Beaumont,6.7
Carl Theodor Dreyer,8.1
King Vidor,7.5
Vsevolod Pudovkin,7.1
Frank Capra,6.4
Lewis Milestone,6.7
Raoul Walsh,6.8
John Ford,6
Lucien Hubbard,3.5
Raoul Walsh,7.2
Franz Osten,7
King Vidor,7.6
Lloyd Bacon,6.2
Jack Conway,6.2
Ted Wilde,7.7
Fritz Lang,7.6
"Charles Reisner, Buster Keaton",7.9
Frank Borzage,7.4
"Frank Capra, Irvin Willat",6.1
"Sam Taylor, Lewis Milestone",6.8
Frank Capra,6
Jean Renoir,6.5
Clarence Brown,6.9
Anthony Asquith,7.3
Roy William Neill,6.6
Victor Fleming,6.5
Frank Lloyd,6.1
Erich von Stroheim,7.5
Tod Browning,7.2
Jack Conway,6.3
"W.S. Van Dyke, Robert J. Flaherty",6.9
Victor Sjöström,8
Clarence Brown,7.2
Fyodor Otsep,6.9
Aleksandr Dovzhenko,7.1
Florián Rey,7
Roland West,5.8
Rouben Mamoulian,7
Marcel L'Herbier,7.6
Aleksandr Dovzhenko,7.3
Joe May,7.4
Ewald André Dupont,5.5
Irving Cummings,4.9
Gregory La Cava,5.4
John Ford,5.6
Alfred Hitchcock,7
Pál Fejös,6.2
Mervyn LeRoy,6.4
Harry Beaumont,5.7
F. Richard Jones,6.4
"Malcolm St. Clair, Frank Tuttle",6
"Alberto Cavalcanti, Henry Wulschleger",6.7
"Robert Florey, Joseph Santley",7
Wesley Ruggles,6.4
Sam Taylor,5.8
Yasujirô Ozu,6.4
"John Cromwell, A. Edward Sutherland",6.5
Lothar Mendes,5.9
William Nigh,6.5
Sidney Franklin,6.1
Alfred E. Green,6.2
Frank Lloyd,6.2
James Cruze,3.1
Cecil B. DeMille,7
Gustav Machatý,7.2
Ernst Lubitsch,6.8
Edwin Carewe,6.6
Frank Capra,5.9
George W. Hill,6.6
Castleton Knight,6
Fritz Lang,7.3
Paul Czinner,6.9
Edgar Selwyn,5.2
Millard Webb,5.8
Cecil B. DeMille,7.2
Roy Del Ruth,6.7
Ilya Trauberg,6.4
Reginald Barker,5.2
"James Cruze, Erich von Stroheim",6.1
Frank Tuttle,6.6
William J. Cowen,5.8
King Vidor,6.8
William Wyler,7.2
Paul L. Stein,5.1
Howard Higgin,5.3
Robert Florey,5.8
"Charles Reisner, Christy Cabanne",5.9
Benjamin Christensen,6.6
Robert Land,6.1
William C. de Mille,5.9
Irving Cummings,5.5
Arthur Robison,7
Allan Dwan,7
Sam Wood,6.1
Jacques Feyder,6.9
George Schnéevoigt,7.3
Pál Fejös,6.7
Paul Leni,6.7
Sidney Franklin,6.1
Jean de Limur,6.7
Dorothy Davenport,6.8
George Fitzmaurice,6
Ernst Lubitsch,7.1
William Wyler,6.5
Frank Borzage,7.8
Lionel Barrymore,6
Alfred Hitchcock,6.2
Robert Z. Leonard,6.2
Robert Z. Leonard,5.6
"Robert Siodmak, Edgar G. Ulmer",7.4
Erle C. Kenton,5.7
Henri Fescourt,7
Phil Jutzi,7.3
Rowland V. Lee,6.7
"Lucien Hubbard, Benjamin Christensen",6.1
Clarence Brown,5.2
Lewis Milestone,5.7
"Michael Curtiz, Darryl F. Zanuck",6.5
Jacques Feyder,6.8
"Grigoriy Kozintsev, Leonid Trauberg",7.3
Fridrikh Ermler,7.3
Alan Crosland,5.8
Jack Conway,6
W.S. Van Dyke,6.9
Ewald André Dupont,7.1
Franz Osten,6.5
Abram Room,6.7
"Erich von Stroheim, Richard Boleslawski",7.1
