,title,year,genre,duration,country,language,director,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,votecat,director_avg
689,Jersey Girl,2004,"Comedy, Drama, Romance",102,USA,English,Kevin Smith,6.2,62656,35000000,25268157,35492921,43,366,123,Middle,6.4
690,Jeepers Creepers - Il canto del diavolo 2,2003,Horror,106,USA,English,Victor Salva,5.6,57297,17000000,35667218,63102666,36,337,175,Middle,5.6899999999999995
691,Old School,2003,Comedy,88,USA,English,Todd Phillips,7.1,211665,24000000,75585093,87135520,54,408,119,High,6.75
692,May,2002,"Comedy, Drama, Horror",93,USA,English,Lucky McKee,6.6,32534,500000,150277,264349,58,307,126,Middle,5.5200000000000005
693,La bottega del barbiere,2002,"Comedy, Drama",102,USA,English,Tim Story,6.3,29018,12000000,75782105,77063924,66,153,91,Middle,5.96
694,Cabin Fever,2002,"Drama, Horror",93,USA,English,Eli Roth,5.7,73040,1500000,21158188,30553394,56,794,270,Middle,5.671428571428571
695,Drumline,2002,"Comedy, Drama, Romance",118,USA,English,Charles Stone III,5.8,32583,20000000,56399184,57588485,63,188,63,Middle,5.883333333333334
696,Terapia d'urto,2003,Comedy,106,USA,English,Peter Segal,6.3,200456,75000000,135645823,195745823,52,491,74,Middle,6.2727272727272725
697,Un ciclone in casa,2003,Comedy,105,USA,English,Adam Shankman,5.6,34433,33000000,132716677,164729679,39,234,122,Middle,5.9
698,The Lost Skeleton of Cadavra,2001,"Comedy, Horror, Sci-Fi",90,USA,English,Larry Blamire,7.0,4618,40000,143121,143121,45,124,89,High,6.539999999999999
699,Shark Tale,2004,"Animation, Adventure, Comedy",90,USA,English,"Bibo Bergeron, Vicky Jenson",6.0,163930,75000000,160861908,374583879,48,321,141,Middle,6.0
700,Solaris,2002,"Drama, Mystery, Romance",99,USA,English,Steven Soderbergh,6.2,78140,47000000,14973382,30002758,65,738,207,Middle,6.6259259259259276
701,La 25ª ora,2002,Drama,135,USA,English,Spike Lee,7.6,167876,5000000,13084595,23932055,68,476,195,High,6.408695652173912
702,Interview with the Assassin,2002,Drama,88,USA,English,Neil Burger,6.5,1744,750000,48058,48058,60,30,33,Middle,7.0
703,Il sogno di Calvin,2002,"Comedy, Family, Fantasy",99,USA,English,John Schultz,5.3,18656,30000000,51432760,62274780,47,72,39,Middle,5.266666666666666
704,Identità,2003,"Mystery, Thriller",90,USA,English,James Mangold,7.3,222620,28000000,52159536,90259536,64,777,140,High,7.218181818181818
705,Holes - Buchi nel deserto,2003,"Adventure, Comedy, Drama",117,USA,English,Andrew Davis,7.0,75840,20000000,67406573,71406573,71,347,107,High,6.2
706,Il gatto... e il cappello matto,2003,"Adventure, Comedy, Family",82,USA,English,Bo Welch,3.9,51054,109000000,101149285,133960541,19,603,111,Middle,3.9
707,Out of Time,2003,"Crime, Drama, Mystery",105,USA,English,Carl Franklin,6.5,56049,50000000,41088845,55495563,63,173,119,Middle,6.05
708,Hey Arnold! Il film,2002,"Animation, Adventure, Comedy",76,USA,English,Tuck Tucker,6.0,6400,3000000,13728902,15249308,47,52,34,Middle,6.0
709,L'ultima alba,2003,"Action, Drama, Thriller",121,USA,English,Antoine Fuqua,6.6,111237,75000000,43734876,86468162,48,429,98,Middle,6.766666666666667
710,The Singing Detective,2003,"Comedy, Crime, Musical",109,USA,English,Keith Gordon,5.5,8107,8000000,337174,435625,45,80,64,Middle,6.55
711,Constellation,2005,Drama,96,USA,English,Jordan Walker-Pearlman,4.0,538,7200000,306533,306533,41,15,8,Middle,4.95
